,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,question_text,score,satisfaction_type,number_of_legs,driver_sub_group1,driver_sub_group2,generation,ua_uax,actual_flown_miles,haul_type,international_domestic_indicator,ques_verbatim_text,verbatim_text,meal_group,meal_category,meal_short_description,pre_order_qty,planned_entree_count,consumed_entree_count
17,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Millennial,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
18,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Millennial,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
19,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Millennial,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
20,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Millennial,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,1,0
21,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Scrambled eggs,1,5,3
22,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Scrambled eggs,1,5,3
23,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Horchata steel cut oatmeal,1,3,0
24,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Horchata steel cut oatmeal,1,3,0
25,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Horchata steel cut oatmeal,1,3,0
26,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Belgium waffle,1,5,2
27,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Belgium waffle,1,5,2
28,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Tomato and kale baked egg,2,1,0
29,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Gingerbread French Toast,2,2,0
30,2054,IAX,DEX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,861,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,ENTREES HOT,BREAKFAST,Gingerbread French Toast,2,2,0
31,483,BOX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,867,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Given the cost of flying, a bit higher quality of complimentary offerings would be welcome.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,8
32,483,BOX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,867,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Given the cost of flying, a bit higher quality of complimentary offerings would be welcome.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,8
33,483,BOX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,867,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Given the cost of flying, a bit higher quality of complimentary offerings would be welcome.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,8
34,483,BOX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,867,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Given the cost of flying, a bit higher quality of complimentary offerings would be welcome.",ENTREES HOT,BREAKFAST,Belgium waffle,1,10,7
35,483,BOX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,867,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Given the cost of flying, a bit higher quality of complimentary offerings would be welcome.",ENTREES HOT,BREAKFAST,Belgium waffle,2,10,7
36,398,DEX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,888,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Pretzels or cookie were offered, I chose pretzels, they were stale and lacked taste I am guessing they were OLD!.",ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,2
37,398,DEX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,888,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Pretzels or cookie were offered, I chose pretzels, they were stale and lacked taste I am guessing they were OLD!.",ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,2
38,398,DEX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,888,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Pretzels or cookie were offered, I chose pretzels, they were stale and lacked taste I am guessing they were OLD!.",ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,2
39,398,DEX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,888,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Pretzels or cookie were offered, I chose pretzels, they were stale and lacked taste I am guessing they were OLD!.",ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,2,2
40,398,DEX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,888,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Pretzels or cookie were offered, I chose pretzels, they were stale and lacked taste I am guessing they were OLD!.",ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,2,2,2
41,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Millennial,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Belgium waffle,1,6,3
42,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Millennial,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Belgium waffle,2,6,3
43,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Millennial,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,2,2
44,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Millennial,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,2,2
45,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Belgium waffle,1,6,3
46,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Belgium waffle,2,6,3
47,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,2,2
48,1412,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"They could change it up;. they or either Southwest Airlines had warm baked cookies, served also peanuts. But most of all find something to keep people happy on their trip.",ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,2,2
49,1990,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Sandwiches.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,3,0
50,1990,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Sandwiches.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,2,3,0
51,1990,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Sandwiches.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,3,0
52,1990,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Sandwiches.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,2,2,0
53,1990,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Sandwiches.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,0
54,1470,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Choices were not offered,” what do you want?”.",ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,3,3,0
55,1470,ORX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"Choices were not offered,” what do you want?”.",ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
56,2426,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The options do not change very often.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,4,0
57,2426,IAX,ORX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,925,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The options do not change very often.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,4,0
58,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Tomato and kale baked egg,1,4,2
59,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Tomato and kale baked egg,1,4,2
60,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,4,2
61,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Gingerbread French Toast,1,4,2
62,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Belgium waffle,1,12,6
63,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Belgium waffle,1,12,6
64,801,EWX,MCX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,938,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,I prefer the Biscoff® cookies!. I would be very disappointed if they were not available. <:)>.,ENTREES HOT,BREAKFAST,Scrambled eggs,1,12,8
65,234,DEX,SFX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,967,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Wine glasses not boarded.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,4,2
